feature,importance_mean,importance_std,importance_percent,importance_std_percent
amount_vs_customer_history,0.21207609092199556,0.007584546694184136,21.207609092199554,0.7584546694184136
is_new_location,0.17846952573498226,0.010264832384373042,17.846952573498225,1.0264832384373042
ip_customer_count_before,0.12178088803344737,0.0056522054687691324,12.178088803344737,0.5652205468769133
device_ip_transactions_before,0.08557046115920716,0.004829233261746129,8.557046115920716,0.48292332617461287
device_customer_count_before,0.061380933128517945,0.002616964248102729,6.138093312851795,0.26169642481027294
amount_difference_from_history,0.029052929404772367,0.003110276937791076,2.9052929404772367,0.3110276937791076
customer_transactions_before,0.012243356751893742,0.0014884390402017736,1.2243356751893741,0.14884390402017736
customer_amount_sum_before,0.009449772752911001,0.0011319501251535742,0.9449772752911001,0.11319501251535742
ip_transactions_before,0.004023721303165029,0.00039333707255133116,0.4023721303165029,0.03933370725513312
network_connections_before,0.0036977902024384777,0.0004485499238758265,0.3697790202438478,0.04485499238758265
customer_avg_amount_before,0.0027497555089570523,0.0006562733089395132,0.27497555089570525,0.06562733089395131
amount,0.0025645967418460704,0.0014972616806378884,0.256459674184607,0.14972616806378886
device_transactions_before,0.0018926913458301887,0.0010359636055853282,0.18926913458301886,0.10359636055853282
device_other_customers_before,0.0017175158384353905,0.00028214452713192054,0.17175158384353906,0.028214452713192055
location_changed_from_previous,0.0014350383816620238,0.0004888298344476706,0.14350383816620238,0.048882983444767054
ip_other_customers_before,0.0008327003880643447,0.00022517862911482822,0.08327003880643447,0.022517862911482823
day_of_week,0.0007613345177265752,0.0003075908657208778,0.07613345177265751,0.03075908657208778
location_Mumbai,0.00044744424975414756,0.00019894664094833987,0.044744424975414754,0.019894664094833987
merchant_customers_before,0.000392615080172054,0.0008134953531359785,0.039261508017205404,0.08134953531359784
is_late_night,7.495578007651326e-05,3.07013894016839e-05,0.007495578007651326,0.0030701389401683902
location_Visakhapatnam,6.305170525908733e-05,5.7792974821398216e-05,0.006305170525908733,0.005779297482139821
payment_method_netbanking,5.2400030010013585e-05,7.50345160804588e-05,0.005240003001001359,0.0075034516080458805
customer_txn_count_1h_before,3.729957412681451e-05,0.00018519129879438647,0.0037299574126814505,0.018519129879438646
location_Hyderabad,3.4544501522959514e-05,5.852114320160301e-05,0.0034544501522959514,0.005852114320160301
payment_method_card,2.127633210654567e-05,0.00010299324713074079,0.002127633210654567,0.01029932471307408
location_Chennai,1.3098023910307344e-05,3.980832171856492e-05,0.0013098023910307344,0.003980832171856492
customer_txn_count_24h_before,0.0,0.0,0.0,0.0
is_seen_device_before,0.0,0.0,0.0,0.0
is_weekend,0.0,0.0,0.0,0.0
location_Bengaluru,0.0,0.0,0.0,0.0
is_high_value,0.0,0.0,0.0,0.0
is_seen_ip_before,0.0,0.0,0.0,0.0
amount_log,0.0,0.0,0.0,0.0
is_very_high_value,0.0,0.0,0.0,0.0
location_Pune,-5.390176037356475e-06,8.307958861604991e-06,-0.0005390176037356476,0.0008307958861604991
location_Delhi,-8.741469854400829e-06,3.49789797027808e-05,-0.0008741469854400828,0.00349789797027808
location_Ahmedabad,-2.401242107402668e-05,3.850878810486316e-05,-0.002401242107402668,0.003850878810486316
payment_method_wallet,-3.470172121123882e-05,4.480103511426408e-05,-0.003470172121123882,0.004480103511426408
location_Kolkata,-4.6854299230358884e-05,0.00015587779010375023,-0.004685429923035889,0.015587779010375023
location_Vijayawada,-0.0001917315957969401,0.0001077817966354973,-0.01917315957969401,0.010778179663549731
merchant_transactions_before,-0.0002323669822384744,0.0003456743281950039,-0.02323669822384744,0.03456743281950039
hour_of_day,-0.00030307314699083986,0.0004898905343314067,-0.030307314699083987,0.04898905343314067
seconds_since_customer_transaction,-0.0005258207884707766,0.0006751879103750553,-0.05258207884707766,0.06751879103750554
payment_method_upi,-0.000550183990105324,0.00022549233902858398,-0.0550183990105324,0.022549233902858398
