risk_bucket,sample_count,mean_predicted_risk,observed_fraud_rate,absolute_gap
0%-10%,18885,0.0047519898122566784,0.0041302621127879266,0.0006217276994687519
10%-20%,216,0.13860422005468193,0.125,0.013604220054681926
20%-30%,87,0.2516322644119251,0.3333333333333333,0.08170106892140822
30%-40%,66,0.34962197535523076,0.3939393939393939,0.04431741858416316
40%-50%,48,0.44508400525024255,0.4791666666666667,0.03408266141642413
50%-60%,53,0.5470906813538763,0.5849056603773585,0.03781497902348219
60%-70%,39,0.655000421622165,0.6410256410256411,0.013974780596523906
70%-80%,73,0.756124911108717,0.726027397260274,0.030097513848443058
80%-90%,90,0.8537503657406346,0.8444444444444444,0.009305921296190123
90%-100%,443,0.9701911566764975,0.9751693002257337,0.0049781435492362025
