rank,feature,importance_mean,importance_std
1,amount_vs_customer_history,0.21367156521146677,0.005088928743757155
2,is_new_location,0.18287744686442464,0.010132122135614933
3,ip_customer_count_before,0.12272565731908094,0.006465798235166834
4,device_ip_transactions_before,0.0841083698014055,0.0031222394924260927
5,device_customer_count_before,0.06178987695779483,0.0031847732869081068
6,amount_difference_from_history,0.028626385503483398,0.0028188635545282528
7,customer_transactions_before,0.01181608767456297,0.0012898313806804186
8,customer_amount_sum_before,0.008981213923517074,0.0011282486385469524
9,ip_transactions_before,0.003958206358850291,0.0003730185998391151
10,network_connections_before,0.003779964476256237,5.2324619669636285e-05
11,amount,0.002851952975849015,0.0016463307640485615
12,customer_avg_amount_before,0.0028157461041943277,0.00034632950592424936
13,device_other_customers_before,0.0017189130200673032,0.00027742546148732403
14,location_changed_from_previous,0.001713817663048256,0.00039335988849360505
15,device_transactions_before,0.0013328043617668595,0.0010984166154166181
16,merchant_customers_before,0.0008661069455922377,0.0005712318056169748
17,ip_other_customers_before,0.000853017605333739,0.0001730526502961347
18,day_of_week,0.0008389017993141624,0.00038561910947933973
19,location_Mumbai,0.0004967426077861603,0.00010502064883075974
20,customer_txn_count_1h_before,8.537349971322605e-05,0.00015162175858353928
21,is_late_night,6.890933779937213e-05,3.317801526757684e-05
22,payment_method_card,4.978603089444977e-05,0.0001280825433327351
23,location_Visakhapatnam,4.46851306898699e-05,5.773662181513278e-05
24,payment_method_netbanking,4.403587243069218e-05,8.434427580483308e-05
25,location_Hyderabad,3.9870885845005866e-05,5.038197235443332e-05
26,location_Delhi,1.1935114144701053e-05,2.0658193931778854e-05
27,location_Chennai,7.516448302258283e-06,3.724551986253223e-05
28,customer_txn_count_24h_before,0.0,0.0
29,is_weekend,0.0,0.0
30,is_seen_device_before,0.0,0.0
31,is_high_value,0.0,0.0
32,location_Bengaluru,0.0,0.0
33,amount_log,0.0,0.0
34,is_seen_ip_before,0.0,0.0
35,is_very_high_value,0.0,0.0
36,location_Pune,-6.8902960373762315e-06,8.968053572449109e-06
37,location_Ahmedabad,-4.409224201320505e-05,3.551729721322431e-05
38,location_Kolkata,-5.067227024666554e-05,0.00021082469876720377
39,payment_method_wallet,-5.2255542596602035e-05,2.825684506015278e-05
40,location_Vijayawada,-0.0001772581762423453,0.0001389822422430596
41,hour_of_day,-0.0002031339416465494,0.0002886323981336245
42,merchant_transactions_before,-0.00021344434272174695,0.00026190951630300534
43,seconds_since_customer_transaction,-0.00043765592555442543,0.0007811197593087545
44,payment_method_upi,-0.0004446424141307581,0.00023007176390783452
