threshold,precision,recall,f1,fraud_capture_rate,false_positive_rate,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,legitimate_volume_flagged,fraud_volume_captured,total_flagged_volume
0.1,0.6475336322869956,0.9025,0.7540469973890339,0.9025,0.02046875,0.05575,722,393,78,18807,2897986.25,6171037.82,9069024.07
0.125,0.6954413191076625,0.89625,0.7831785909339158,0.89625,0.016354166666666666,0.05155,717,314,83,18886,2343176.44,6142809.93,8485986.370000001
0.15,0.7261538461538461,0.885,0.7977464788732395,0.885,0.01390625,0.04875,708,267,92,18933,2002076.71,6088826.43,8090903.140000001
0.175,0.7564655172413793,0.8775,0.8125,0.8775,0.011770833333333333,0.0464,702,226,98,18974,1746836.03,6059542.3,7806378.33
0.2,0.7730812013348165,0.86875,0.8181283107710418,0.86875,0.010625,0.04495,695,204,105,18996,1607985.0999999999,5999450.22,7607435.32
0.225,0.7908571428571428,0.865,0.8262686567164179,0.865,0.00953125,0.04375,692,183,108,19017,1412338.56,5972606.51,7384945.07
0.25,0.79976717112922,0.85875,0.8282097649186256,0.85875,0.008958333333333334,0.04295,687,172,113,19028,1342568.27,5955187.7,7297755.970000001
0.275,0.8086124401913876,0.845,0.8264058679706602,0.845,0.008333333333333333,0.0418,676,160,124,19040,1265266.64,5851680.5,7116947.140000001
0.3,0.8201970443349754,0.8325,0.826302729528536,0.8325,0.007604166666666667,0.0406,666,146,134,19054,1173567.87,5802148.9799999995,6975716.85
0.325,0.8297604035308953,0.8225,0.8261142498430634,0.8225,0.00703125,0.03965,658,135,142,19065,1109836.71,5726392.35,6836229.0600000005
0.35,0.8406169665809768,0.8175,0.8288973384030418,0.8175,0.006458333333333333,0.0389,654,124,146,19076,1016048.59,5676101.83,6692150.42
0.375,0.8505897771952818,0.81125,0.8304542546385156,0.81125,0.0059375,0.03815,649,114,151,19086,943655.48,5625022.71,6568678.1899999995
0.4,0.8579088471849866,0.8,0.8279430789133247,0.8,0.005520833333333333,0.0373,640,106,160,19094,900136.1,5546559.300000001,6446695.4
0.425,0.8647540983606558,0.79125,0.8263707571801566,0.79125,0.00515625,0.0366,633,99,167,19101,853216.83,5501066.49,6354283.32
0.45,0.8722222222222222,0.785,0.8263157894736842,0.785,0.004791666666666666,0.036,628,92,172,19108,805280.64,5474315.169999999,6279595.8100000005
0.475,0.8797736916548797,0.7775,0.8254810882548109,0.7775,0.004427083333333333,0.03535,622,85,178,19115,761752.84,5454416.38,6216169.22
0.5,0.8839541547277937,0.77125,0.8237650200267023,0.77125,0.00421875,0.0349,617,81,183,19119,718516.0199999999,5428089.09,6146605.109999999
0.525,0.8903508771929824,0.76125,0.8207547169811321,0.76125,0.00390625,0.0342,609,75,191,19125,658614.1100000001,5396951.64,6055565.75
0.55,0.898355754857997,0.75125,0.8182437031994554,0.75125,0.0035416666666666665,0.03345,601,68,199,19132,608304.26,5350457.210000001,5958761.47
0.575,0.9056316590563166,0.74375,0.8167467398764585,0.74375,0.0032291666666666666,0.03285,595,62,205,19138,555278.6,5331812.279999999,5887090.88
0.6,0.9085271317829458,0.7325,0.8110726643598616,0.7325,0.0030729166666666665,0.03225,586,59,214,19141,531937.6000000001,5298181.02,5830118.619999999
0.625,0.9090909090909091,0.725,0.8066759388038943,0.725,0.0030208333333333333,0.0319,580,58,220,19142,516822.93,5264044.8100000005,5780867.74
0.65,0.9140127388535032,0.7175,0.803921568627451,0.7175,0.0028125,0.0314,574,54,226,19146,474967.65,5206614.35,5681582.0
0.675,0.9188311688311688,0.7075,0.7994350282485876,0.7075,0.0026041666666666665,0.0308,566,50,234,19150,440273.35,5151999.99,5592273.34
0.7,0.9257425742574258,0.70125,0.7980085348506402,0.70125,0.00234375,0.0303,561,45,239,19155,391753.82,5128442.550000001,5520196.37
0.725,0.9320882852292021,0.68625,0.7904967602591793,0.68625,0.0020833333333333333,0.02945,549,40,251,19160,365405.7,5041503.720000001,5406909.42
0.75,0.9380378657487092,0.68125,0.7892831281679942,0.68125,0.001875,0.02905,545,36,255,19164,321274.77,4990575.07,5311849.84
0.775,0.9473684210526315,0.6525,0.7727609178386381,0.6525,0.0015104166666666666,0.02755,522,29,278,19171,254028.94,4867191.199999999,5121220.14
0.8,0.9530956848030019,0.635,0.7621905476369092,0.635,0.0013020833333333333,0.02665,508,25,292,19175,228986.29,4750204.32,4979190.609999999
0.825,0.9628180039138943,0.615,0.7505720823798627,0.615,0.0009895833333333334,0.02555,492,19,308,19181,149137.63,4589736.529999999,4738874.16
0.85,0.9653767820773931,0.5925,0.7343144848954299,0.5925,0.0008854166666666666,0.02455,474,17,326,19183,139682.87,4455670.35,4595353.22
0.875,0.9726315789473684,0.5775,0.7247058823529412,0.5775,0.0006770833333333334,0.02375,462,13,338,19187,118386.98,4393980.73,4512367.710000001
0.9,0.9751693002257337,0.54,0.6950925181013676,0.54,0.0005729166666666667,0.02215,432,11,368,19189,106861.09,4093967.57,4200828.66
0.925,0.9773299748110831,0.485,0.6482873851294904,0.485,0.00046875,0.01985,388,9,412,19191,97199.5,3777507.25,3874706.7500000005
0.95,0.9911242603550295,0.41875,0.5887521968365553,0.41875,0.00015625,0.0169,335,3,465,19197,33373.51,3217888.5599999996,3251262.07
0.975,1.0,0.2975,0.45857418111753373,0.2975,0.0,0.0119,238,0,562,19200,0.0,2300840.3800000004,2300840.3800000004
