transaction_id,timestamp,customer_id,is_fraud,graph_customer_cluster_size_before,graph_device_cluster_size_before,graph_ip_cluster_size_before,graph_direct_connections_before
TX0014718,2025-12-31 23:53:48,C08910,1,1,1,1,0
TX0001906,2026-01-01 00:05:29,C02129,0,1,1,1,0
TX0036067,2026-01-01 00:06:51,C03702,0,1,1,1,0
TX0057170,2026-01-01 00:16:37,C08607,0,1,1,1,0
TX0020348,2026-01-01 00:18:34,C06400,0,1,1,1,0
TX0043775,2026-01-01 00:23:23,C02674,0,1,1,1,0
TX0056316,2026-01-01 00:23:41,C07730,0,1,1,1,0
TX0081806,2026-01-01 00:31:01,C02412,0,1,1,1,0
TX0054005,2026-01-01 00:31:06,C07429,0,1,1,1,0
TX0068109,2026-01-01 00:41:53,C00456,0,1,1,1,0
TX0078116,2026-01-01 00:45:23,C07729,0,1,1,1,0
TX0052587,2026-01-01 00:56:52,C00896,0,1,1,1,0
TX0089436,2026-01-01 00:57:21,C09247,0,1,1,1,0
TX0099340,2026-01-01 00:58:31,C07518,0,1,1,1,0
TX0098337,2026-01-01 00:58:51,C07992,0,1,1,1,0
TX0054288,2026-01-01 01:00:52,C01665,0,1,1,1,0
TX0046994,2026-01-01 01:01:25,C02953,0,1,1,1,0
TX0026316,2026-01-01 01:06:15,C02959,0,1,1,1,0
TX0013291,2026-01-01 01:12:48,C02474,0,1,1,1,0
TX0041163,2026-01-01 01:18:39,C04377,0,1,1,1,0
TX0036220,2026-01-01 01:24:14,C09587,0,1,1,1,0
TX0056657,2026-01-01 01:28:23,C08074,0,1,1,1,0
TX0042661,2026-01-01 01:29:47,C05318,0,1,1,1,0
TX0083561,2026-01-01 01:32:27,C04472,0,1,1,1,0
TX0003161,2026-01-01 01:37:35,C05539,0,1,1,1,0
TX0058739,2026-01-01 01:45:08,C00814,0,1,1,1,0
TX0098655,2026-01-01 01:54:19,C01669,0,1,1,1,0
TX0064649,2026-01-01 01:58:42,C07631,0,1,1,1,0
TX0013369,2026-01-01 01:58:48,C01123,0,1,1,1,0
TX0014056,2026-01-01 02:03:22,C07855,0,1,1,1,0
TX0079854,2026-01-01 02:03:30,C09962,0,1,1,1,0
TX0079063,2026-01-01 02:09:18,C08508,0,1,1,1,0
TX0080895,2026-01-01 02:11:26,C05357,1,1,1,1,0
TX0031773,2026-01-01 02:12:57,C06909,0,1,1,1,0
TX0091246,2026-01-01 02:14:22,C05249,0,1,1,1,0
TX0075208,2026-01-01 02:21:28,C06645,0,1,1,1,0
TX0075300,2026-01-01 02:23:23,C09420,0,1,1,1,0
TX0077388,2026-01-01 02:25:29,C07896,0,1,1,1,0
TX0049419,2026-01-01 02:35:24,C05827,0,1,1,1,0
TX0063905,2026-01-01 02:35:54,C08082,0,1,1,1,0
TX0041476,2026-01-01 02:36:39,C07466,0,1,1,1,0
TX0005777,2026-01-01 02:39:29,C05185,0,1,1,1,0
TX0029700,2026-01-01 02:40:10,C08418,0,1,1,1,0
TX0038305,2026-01-01 02:40:37,C03029,0,1,1,1,0
TX0060366,2026-01-01 02:41:59,C04690,0,1,1,1,0
TX0040372,2026-01-01 02:44:21,C05649,0,1,1,1,0
TX0019601,2026-01-01 02:45:14,C01110,0,1,1,1,0
