amount,seconds_since_customer_transaction,customer_transactions_before,customer_amount_sum_before,customer_avg_amount_before,amount_vs_customer_history,amount_difference_from_history,customer_txn_count_1h_before,customer_txn_count_24h_before,device_transactions_before,device_customer_count_before,is_seen_device_before,ip_transactions_before,ip_customer_count_before,is_seen_ip_before,merchant_transactions_before,merchant_customers_before,is_new_location,location_changed_from_previous,hour_of_day,day_of_week,is_weekend,is_late_night,amount_log,is_high_value,is_very_high_value,device_ip_transactions_before,device_other_customers_before,ip_other_customers_before,network_connections_before,payment_method_card,payment_method_netbanking,payment_method_upi,payment_method_wallet,location_Ahmedabad,location_Bengaluru,location_Chennai,location_Delhi,location_Hyderabad,location_Kolkata,location_Mumbai,location_Pune,location_Vijayawada,location_Visakhapatnam
16415.45,999999.0,0,0.0,2808.65,5.84460505937016,13606.800000000001,0,0,0,12,0,0,10,0,0,193,0,0,23,2,0,0,9.706039159875488,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2351.91,999999.0,0,0.0,2865.62,0.820733384049525,-513.71,0,0,0,3,0,0,1,0,0,189,0,0,0,3,0,1,7.763408138952075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8457.3,999999.0,0,0.0,4627.36,1.8276727983126448,3829.9399999999996,0,0,0,5,0,0,3,0,0,200,0,0,0,3,0,1,9.042903486781514,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
933.7,999999.0,0,0.0,714.56,1.3066782355575461,219.1400000000001,0,0,0,11,0,0,3,0,0,200,0,0,0,3,0,1,6.840225622188537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
942.8,999999.0,0,0.0,708.8,1.330135440180587,234.0,0,0,0,6,0,0,3,0,0,193,0,0,0,3,0,1,6.849914279292287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
741.75,999999.0,0,0.0,1268.13,0.5849163729270658,-526.3800000000001,0,0,0,7,0,0,8,0,0,211,0,0,0,3,0,1,6.610359514342717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2124.84,999999.0,0,0.0,2005.73,1.059384862369312,119.11000000000013,0,0,0,4,0,0,4,0,0,194,0,0,0,3,0,1,7.661922297368028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7671.66,999999.0,0,0.0,4891.22,1.568455313807189,2780.4399999999996,0,0,0,4,0,0,3,0,0,195,0,0,0,3,0,1,8.94541863997473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1924.19,999999.0,0,0.0,2053.07,0.9372257156356091,-128.8800000000001,0,0,0,7,0,0,2,0,0,181,0,0,0,3,0,1,7.562779943149933,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
617.24,999999.0,0,0.0,1075.11,0.5741179972281907,-457.8699999999999,0,0,0,2,0,0,2,0,0,191,0,0,0,3,0,1,6.426876731584098,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2442.31,999999.0,0,0.0,2293.34,1.0649576600068023,148.9699999999998,0,0,0,3,0,0,6,0,0,189,0,0,0,3,0,1,7.8011089563716265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2186.02,999999.0,0,0.0,2744.09,0.7966283904682426,-558.0700000000002,0,0,0,4,0,0,2,0,1,189,0,0,0,3,0,1,7.69029516558237,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1910.98,999999.0,0,0.0,2309.5,0.8274431695172115,-398.52,0,0,0,3,0,0,3,0,0,202,0,0,0,3,0,1,7.555894633305591,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1815.11,999999.0,0,0.0,1532.68,1.1842719941540307,282.42999999999984,0,0,0,2,0,0,4,0,0,198,0,0,0,3,0,1,7.504452130014012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1901.43,999999.0,0,0.0,1771.81,1.073156828328094,129.62000000000012,0,0,0,6,0,0,2,0,2,189,0,0,0,3,0,1,7.550887295366427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7002.67,999999.0,0,0.0,4182.18,1.6744066491638332,2820.49,0,0,0,6,0,0,5,0,0,205,0,0,1,3,0,1,8.854189576362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4114.11,999999.0,0,0.0,2437.87,1.6875838334283615,1676.2399999999998,0,0,0,2,0,0,1,0,0,204,0,0,1,3,0,1,8.322420844224121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7164.02,999999.0,0,0.0,3765.72,1.902430345325728,3398.3000000000006,0,0,0,1,0,0,2,0,0,187,0,0,1,3,0,1,8.8769661316052,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
500.76,999999.0,0,0.0,733.53,0.6826714653797391,-232.76999999999998,0,0,0,3,0,0,3,0,0,214,0,0,1,3,0,1,6.218121917721988,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
246.28,999999.0,0,0.0,385.28,0.6392234219269104,-138.99999999999997,0,0,0,13,0,0,16,0,0,191,0,0,1,3,0,1,5.5105212978238605,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2499.76,999999.0,0,0.0,2346.17,1.0654641394272368,153.59000000000015,0,0,0,5,0,0,2,0,0,197,0,0,1,3,0,1,7.824349964657655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1499.85,999999.0,0,0.0,1073.69,1.3969115852806675,426.15999999999985,0,0,0,4,0,0,4,0,1,193,0,0,1,3,0,1,7.313786893262041,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
919.65,999999.0,0,0.0,1559.61,0.5896666474310885,-639.9599999999999,0,0,0,4,0,0,4,0,0,215,0,0,1,3,0,1,6.825079942313229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
