threshold,precision,recall,f1,fraud_capture_rate,false_positive_rate,true_positives,false_positives,false_negatives,true_negatives
0.05,0.09596142254370102,0.995,0.17504123144584938,0.995,0.39057291666666666,796,7499,4,11701
0.1,0.13867325335215244,0.9825,0.24304267161410018,0.9825,0.25427083333333333,786,4882,14,14318
0.15,0.17621841155234658,0.97625,0.2985474006116208,0.97625,0.19015625,781,3651,19,15549
0.2,0.21141304347826087,0.9725,0.34732142857142856,0.9725,0.15114583333333334,778,2902,22,16298
0.25,0.24369482976040352,0.96625,0.3892245720040282,0.96625,0.12494791666666667,773,2399,27,16801
0.3,0.27584973166368515,0.96375,0.42892906815020865,0.96375,0.10541666666666667,771,2024,29,17176
0.35,0.3053009166998804,0.9575,0.46297975219099424,0.9575,0.09078125,766,1743,34,17457
0.4,0.33598233995584986,0.95125,0.4965742251223491,0.95125,0.07833333333333334,761,1504,39,17696
0.45,0.36499517839922857,0.94625,0.5267919276270007,0.94625,0.06859375,757,1317,43,17883
0.5,0.39609704641350213,0.93875,0.5571216617210683,0.93875,0.05963541666666667,751,1145,49,18055
0.55,0.43155452436194897,0.93,0.589540412044374,0.93,0.051041666666666666,744,980,56,18220
0.6,0.47036328871892924,0.9225,0.6230476994512453,0.9225,0.04328125,738,831,62,18369
0.65,0.5140056022408963,0.9175,0.6588868940754039,0.9175,0.036145833333333335,734,694,66,18506
0.7,0.5511450381679389,0.9025,0.6843601895734597,0.9025,0.030625,722,588,78,18612
0.75,0.5886761032472939,0.88375,0.7066466766616691,0.88375,0.025729166666666668,707,494,93,18706
0.8,0.6361136571952337,0.8675,0.7340031729243787,0.8675,0.020677083333333332,694,397,106,18803
0.85,0.6716867469879518,0.83625,0.744988864142539,0.83625,0.01703125,669,327,131,18873
0.9,0.7353279631760644,0.79875,0.7657279808268425,0.79875,0.011979166666666667,639,230,161,18970
0.95,0.7988980716253443,0.725,0.7601572739187418,0.725,0.007604166666666667,580,146,220,19054
