ring_id,customer_id,shared_device_id,shared_ip_id
R0001,C05641,D04968,IP03994
R0001,C08944,D04968,IP03994
R0001,C02275,D04968,IP03994
R0001,C08274,D04968,IP03994
R0001,C05618,D04968,IP03994
R0001,C02056,D04968,IP03994
R0001,C07252,D04968,IP03994
R0002,C06701,D03350,IP01703
R0002,C09474,D03350,IP01703
R0002,C04808,D03350,IP01703
R0002,C02123,D03350,IP01703
R0002,C05878,D03350,IP01703
R0002,C05094,D03350,IP01703
R0002,C02874,D03350,IP01703
R0003,C06152,D04698,IP03727
R0003,C09886,D04698,IP03727
R0003,C03495,D04698,IP03727
R0003,C06505,D04698,IP03727
R0003,C02547,D04698,IP03727
R0003,C00610,D04698,IP03727
R0003,C00309,D04698,IP03727
R0004,C08688,D01886,IP02689
R0004,C08138,D01886,IP02689
R0004,C08262,D01886,IP02689
R0004,C01060,D01886,IP02689
R0004,C07239,D01886,IP02689
R0004,C03135,D01886,IP02689
R0004,C05810,D01886,IP02689
R0005,C01978,D03746,IP02318
R0005,C07545,D03746,IP02318
R0005,C00163,D03746,IP02318
R0005,C02390,D03746,IP02318
R0005,C03360,D03746,IP02318
R0005,C05953,D03746,IP02318
R0006,C07248,D02716,IP07206
R0006,C07010,D02716,IP07206
R0006,C02100,D02716,IP07206
R0006,C05215,D02716,IP07206
R0006,C08184,D02716,IP07206
R0006,C01708,D02716,IP07206
R0006,C01286,D02716,IP07206
R0006,C08484,D02716,IP07206
R0006,C01428,D02716,IP07206
R0007,C07483,D03053,IP01528
R0007,C07731,D03053,IP01528
R0007,C04763,D03053,IP01528
R0007,C01955,D03053,IP01528
R0007,C03617,D03053,IP01528
R0007,C08723,D03053,IP01528
R0008,C01232,D02794,IP03531
R0008,C03318,D02794,IP03531
R0008,C02289,D02794,IP03531
R0008,C00048,D02794,IP03531
R0008,C07498,D02794,IP03531
R0008,C09346,D02794,IP03531
R0008,C09354,D02794,IP03531
R0008,C05589,D02794,IP03531
R0008,C07761,D02794,IP03531
R0008,C02990,D02794,IP03531
R0009,C04456,D04192,IP04197
R0009,C07979,D04192,IP04197
R0009,C04710,D04192,IP04197
R0009,C01604,D04192,IP04197
R0009,C06293,D04192,IP04197
R0010,C00069,D04003,IP05610
R0010,C01791,D04003,IP05610
R0010,C02023,D04003,IP05610
R0010,C00050,D04003,IP05610
R0010,C02644,D04003,IP05610
R0010,C07261,D04003,IP05610
R0010,C02254,D04003,IP05610
R0011,C05038,D00023,IP03983
R0011,C05349,D00023,IP03983
R0011,C08792,D00023,IP03983
R0011,C04915,D00023,IP03983
R0011,C03006,D00023,IP03983
R0011,C08302,D00023,IP03983
R0011,C02574,D00023,IP03983
R0011,C04378,D00023,IP03983
R0011,C01057,D00023,IP03983
R0011,C02572,D00023,IP03983
R0012,C04131,D00710,IP00902
R0012,C03071,D00710,IP00902
R0012,C03036,D00710,IP00902
R0012,C04343,D00710,IP00902
R0012,C08730,D00710,IP00902
R0012,C03595,D00710,IP00902
R0012,C05384,D00710,IP00902
R0012,C04448,D00710,IP00902
R0012,C00218,D00710,IP00902
R0012,C01194,D00710,IP00902
R0013,C02888,D03227,IP01706
R0013,C02338,D03227,IP01706
