customer_id,account_age_days,avg_transaction_amount,usual_location,transaction_frequency
C00001,1339,2485.94,Bengaluru,low
C00002,593,1645.29,Delhi,low
C00003,315,2742.26,Bengaluru,high
C00004,1146,4844.07,Bengaluru,high
C00005,894,1545.87,Hyderabad,low
C00006,221,1545.89,Delhi,low
C00007,1064,5024.24,Visakhapatnam,low
C00008,1179,2964.24,Delhi,high
C00009,1360,1326.61,Vijayawada,medium
C00010,481,2561.14,Ahmedabad,high
C00011,599,1331.84,Hyderabad,low
C00012,1459,1329.84,Kolkata,medium
C00013,599,2106.57,Mumbai,low
C00014,719,519.0,Bengaluru,low
C00015,808,586.6,Bengaluru,medium
C00016,734,1248.95,Visakhapatnam,medium
C00017,118,931.88,Ahmedabad,high
C00018,285,2207.91,Kolkata,low
C00019,1160,997.57,Chennai,high
C00020,1296,718.77,Pune,high
C00021,423,4666.73,Bengaluru,low
C00022,1384,1554.31,Delhi,medium
C00023,193,1880.77,Delhi,low
C00024,808,712.98,Chennai,medium
C00025,1331,1263.57,Pune,low
C00026,788,1934.57,Pune,low
C00027,1402,851.84,Chennai,high
C00028,1429,2297.89,Bengaluru,high
C00029,1330,1218.2,Mumbai,high
C00030,531,1489.12,Mumbai,medium
C00031,807,1217.35,Chennai,high
C00032,1439,6000.05,Vijayawada,low
C00033,1432,1784.28,Pune,low
C00034,499,905.09,Hyderabad,medium
C00035,851,3072.34,Chennai,low
C00036,462,814.03,Visakhapatnam,high
C00037,674,2061.74,Delhi,high
C00038,1052,503.59,Kolkata,high
C00039,969,759.17,Mumbai,medium
C00040,315,2045.71,Delhi,high
C00041,1179,2908.94,Vijayawada,medium
C00042,1227,2012.09,Kolkata,high
C00043,847,1669.65,Pune,low
C00044,313,1480.04,Vijayawada,medium
C00045,216,688.49,Hyderabad,low
C00046,343,1127.37,Mumbai,high
C00047,894,1334.25,Visakhapatnam,low
C00048,818,3578.4,Kolkata,high
C00049,988,2250.47,Vijayawada,medium
C00050,1163,572.24,Hyderabad,high
C00051,264,2222.07,Vijayawada,medium
C00052,1342,1401.42,Pune,low
C00053,631,1159.27,Kolkata,low
C00054,959,2678.82,Hyderabad,high
C00055,569,3518.15,Vijayawada,low
C00056,1069,3297.35,Bengaluru,high
C00057,641,1043.2,Vijayawada,high
C00058,437,1472.26,Mumbai,medium
C00059,360,2232.47,Vijayawada,high
C00060,31,3393.6,Visakhapatnam,medium
C00061,1030,1318.27,Hyderabad,low
C00062,773,1595.37,Chennai,low
C00063,148,876.93,Delhi,high
C00064,191,827.17,Bengaluru,high
C00065,1025,3052.4,Bengaluru,high
C00066,287,4346.38,Mumbai,high
C00067,1003,1717.69,Vijayawada,low
C00068,572,3455.9,Vijayawada,high
C00069,896,2276.98,Delhi,high
C00070,1442,1183.48,Delhi,high
C00071,668,2276.62,Kolkata,high
C00072,1360,4891.56,Pune,medium
C00073,1089,1758.57,Ahmedabad,low
C00074,537,4976.89,Delhi,low
C00075,722,327.9,Hyderabad,high
C00076,1164,3071.06,Delhi,high
C00077,481,1904.78,Hyderabad,low
C00078,1479,1482.06,Hyderabad,low
C00079,168,1910.63,Hyderabad,medium
C00080,175,494.54,Vijayawada,low
C00081,600,1560.49,Ahmedabad,low
C00082,1134,2270.3,Mumbai,high
C00083,1199,4704.02,Visakhapatnam,medium
C00084,527,1285.2,Ahmedabad,medium
C00085,419,1064.25,Bengaluru,low
C00086,1379,1299.06,Kolkata,medium
C00087,897,3263.49,Kolkata,medium
C00088,140,2228.83,Bengaluru,low
C00089,854,1275.63,Pune,low
C00090,539,2512.83,Delhi,low
C00091,1128,1917.24,Ahmedabad,low
C00092,894,3378.41,Mumbai,medium
C00093,977,1140.48,Delhi,low
C00094,937,1454.71,Vijayawada,low
C00095,133,1395.03,Vijayawada,low
C00096,221,695.24,Delhi,low
C00097,862,2182.05,Ahmedabad,medium
C00098,467,2132.88,Kolkata,low
C00099,367,1805.99,Kolkata,low
C00100,829,1545.43,Chennai,medium
C00101,614,717.34,Kolkata,high
C00102,1168,1369.39,Ahmedabad,low
C00103,418,1440.55,Chennai,low
C00104,149,1068.55,Visakhapatnam,high
C00105,1140,1620.85,Hyderabad,high
C00106,672,2340.63,Hyderabad,low
C00107,1226,6133.76,Ahmedabad,high
C00108,1117,2016.3,Mumbai,low
C00109,1070,2128.03,Bengaluru,low
C00110,170,1714.97,Visakhapatnam,low
C00111,1412,517.15,Delhi,medium
C00112,275,1769.24,Visakhapatnam,low
C00113,1215,1871.87,Visakhapatnam,low
C00114,1298,8925.34,Bengaluru,medium
C00115,1376,1588.44,Visakhapatnam,high
C00116,1100,2189.76,Pune,medium
C00117,448,1759.84,Pune,low
C00118,573,842.1,Kolkata,low
C00119,1405,3783.39,Chennai,medium
C00120,677,2934.52,Bengaluru,low
C00121,968,3010.05,Visakhapatnam,high
C00122,234,996.69,Bengaluru,high
C00123,466,4479.91,Vijayawada,medium
C00124,301,723.67,Pune,low
C00125,530,2635.95,Pune,medium
C00126,353,7475.14,Ahmedabad,high
C00127,1470,945.48,Chennai,high
C00128,1369,1245.69,Vijayawada,low
C00129,1397,1920.45,Vijayawada,medium
C00130,1388,1297.61,Bengaluru,low
C00131,571,656.95,Bengaluru,low
C00132,1163,1882.03,Mumbai,medium
C00133,607,902.39,Visakhapatnam,low
C00134,1499,2448.86,Pune,low
C00135,1437,990.21,Chennai,high
C00136,1030,4929.53,Chennai,low
C00137,219,1081.85,Kolkata,medium
C00138,120,1460.01,Hyderabad,medium
C00139,297,3054.37,Chennai,low
C00140,934,808.74,Vijayawada,high
C00141,905,2086.81,Vijayawada,low
C00142,259,4209.86,Bengaluru,high
C00143,335,633.13,Vijayawada,low
C00144,786,2029.52,Visakhapatnam,high
C00145,333,2131.25,Kolkata,low
C00146,115,2992.09,Chennai,medium
C00147,111,805.55,Pune,low
C00148,1426,762.99,Delhi,high
C00149,240,2527.04,Pune,high
C00150,862,2183.28,Visakhapatnam,high
C00151,346,2118.29,Delhi,low
C00152,392,2254.61,Kolkata,low
C00153,397,1156.93,Pune,medium
C00154,1401,2093.32,Delhi,medium
C00155,356,2177.73,Bengaluru,medium
C00156,109,1131.4,Ahmedabad,low
C00157,438,6052.92,Ahmedabad,medium
C00158,655,2449.24,Delhi,low
C00159,78,829.81,Delhi,medium
C00160,702,2758.11,Chennai,low
C00161,601,955.27,Pune,high
C00162,1073,3002.34,Kolkata,high
C00163,1128,3822.38,Pune,low
C00164,266,1055.85,Chennai,low
C00165,1219,3366.86,Chennai,low
C00166,252,2353.95,Visakhapatnam,medium
C00167,737,3071.38,Pune,medium
C00168,1271,6176.19,Vijayawada,low
C00169,818,1534.62,Visakhapatnam,low
C00170,551,1102.81,Hyderabad,high
C00171,923,1009.65,Hyderabad,high
C00172,1132,1059.2,Delhi,medium
C00173,913,1712.01,Bengaluru,high
C00174,706,2246.86,Visakhapatnam,medium
C00175,1388,2154.67,Bengaluru,high
C00176,645,3081.62,Vijayawada,medium
C00177,1395,1815.28,Kolkata,medium
C00178,854,4630.12,Chennai,high
C00179,290,1515.52,Delhi,medium
C00180,1391,10547.58,Kolkata,high
C00181,386,2703.29,Visakhapatnam,high
C00182,646,1031.11,Kolkata,high
C00183,30,897.36,Chennai,medium
C00184,460,2463.03,Kolkata,high
C00185,1272,1556.65,Pune,medium
C00186,934,2863.05,Ahmedabad,high
C00187,467,2448.29,Vijayawada,medium
C00188,377,1716.78,Bengaluru,medium
C00189,1085,1038.08,Visakhapatnam,medium
C00190,221,672.43,Delhi,high
C00191,665,1346.56,Delhi,low
C00192,331,3140.7,Hyderabad,low
C00193,531,2068.76,Ahmedabad,high
C00194,179,800.96,Ahmedabad,medium
C00195,1319,2014.47,Visakhapatnam,low
C00196,1456,2312.3,Kolkata,medium
C00197,848,1013.37,Delhi,low
C00198,1373,1989.15,Hyderabad,low
C00199,900,1869.41,Delhi,low
C00200,1455,856.29,Vijayawada,medium
C00201,132,2271.29,Vijayawada,low
C00202,278,2591.65,Ahmedabad,low
C00203,981,3639.22,Vijayawada,high
C00204,1249,3570.69,Pune,medium
C00205,1284,735.14,Vijayawada,medium
