device_id,device_type
D00001,web
D00002,ios
D00003,ios
D00004,web
D00005,ios
D00006,web
D00007,android
D00008,android
D00009,android
D00010,web
D00011,ios
D00012,web
D00013,ios
D00014,ios
D00015,ios
D00016,web
D00017,ios
D00018,ios
D00019,ios
D00020,ios
D00021,web
D00022,ios
D00023,android
D00024,android
D00025,ios
D00026,web
D00027,ios
D00028,ios
D00029,android
D00030,android
D00031,ios
D00032,android
D00033,android
D00034,web
D00035,ios
D00036,ios
D00037,android
D00038,ios
D00039,web
D00040,web
D00041,android
D00042,android
D00043,ios
D00044,web
D00045,ios
D00046,ios
D00047,ios
D00048,web
D00049,android
D00050,web
D00051,web
D00052,web
D00053,android
D00054,web
D00055,ios
D00056,android
D00057,android
D00058,web
D00059,ios
D00060,web
D00061,web
D00062,android
D00063,web
D00064,android
D00065,android
D00066,web
D00067,android
D00068,ios
D00069,web
D00070,ios
D00071,web
D00072,web
D00073,ios
D00074,web
D00075,android
D00076,android
D00077,android
D00078,android
D00079,ios
D00080,android
D00081,ios
D00082,web
D00083,ios
D00084,android
D00085,web
D00086,ios
D00087,web
D00088,web
D00089,ios
D00090,web
D00091,android
D00092,web
D00093,ios
D00094,ios
D00095,android
D00096,ios
D00097,android
D00098,ios
D00099,ios
D00100,ios
D00101,ios
D00102,web
D00103,ios
D00104,ios
D00105,android
D00106,web
D00107,android
D00108,ios
D00109,web
D00110,web
D00111,web
D00112,ios
D00113,web
D00114,ios
D00115,web
D00116,android
D00117,web
D00118,ios
D00119,ios
D00120,web
D00121,web
D00122,android
D00123,ios
D00124,android
D00125,ios
D00126,android
D00127,ios
D00128,android
D00129,android
D00130,android
D00131,android
D00132,web
D00133,web
D00134,android
D00135,ios
D00136,web
D00137,web
D00138,android
D00139,web
D00140,ios
D00141,android
D00142,android
D00143,ios
D00144,ios
D00145,web
D00146,ios
D00147,ios
D00148,web
D00149,android
D00150,web
D00151,web
D00152,ios
D00153,web
D00154,android
D00155,web
D00156,ios
D00157,ios
D00158,ios
D00159,android
D00160,web
D00161,android
D00162,web
D00163,web
D00164,android
D00165,web
D00166,ios
D00167,ios
D00168,web
D00169,web
D00170,android
D00171,android
D00172,android
D00173,android
D00174,ios
D00175,web
D00176,ios
D00177,web
D00178,android
D00179,web
D00180,web
D00181,web
D00182,web
D00183,ios
D00184,web
D00185,android
D00186,android
D00187,web
D00188,android
D00189,ios
D00190,ios
D00191,ios
D00192,ios
D00193,android
D00194,web
D00195,web
D00196,ios
D00197,ios
D00198,ios
D00199,ios
D00200,android
D00201,android
D00202,android
D00203,ios
D00204,web
D00205,ios
D00206,android
D00207,ios
D00208,android
D00209,android
D00210,android
D00211,android
D00212,android
D00213,web
D00214,web
D00215,android
D00216,ios
D00217,web
D00218,web
D00219,web
D00220,android
D00221,android
D00222,android
D00223,web
D00224,ios
D00225,ios
D00226,web
D00227,android
D00228,ios
D00229,ios
D00230,ios
D00231,web
D00232,web
D00233,android
D00234,android
D00235,ios
D00236,ios
D00237,web
D00238,android
D00239,ios
D00240,android
D00241,web
D00242,ios
D00243,ios
D00244,ios
D00245,android
D00246,ios
D00247,ios
D00248,android
D00249,web
D00250,android
D00251,android
D00252,android
D00253,ios
D00254,android
D00255,ios
D00256,ios
D00257,ios
D00258,ios
D00259,ios
D00260,ios
D00261,android
D00262,ios
D00263,android
D00264,android
D00265,web
D00266,ios
D00267,android
D00268,ios
D00269,android
D00270,ios
D00271,android
D00272,android
D00273,web
D00274,web
D00275,ios
D00276,web
D00277,web
D00278,ios
D00279,web
D00280,web
D00281,ios
D00282,ios
D00283,web
D00284,android
D00285,web
D00286,android
D00287,ios
D00288,web
D00289,ios
D00290,ios
D00291,ios
D00292,android
D00293,ios
D00294,web
D00295,android
D00296,android
D00297,android
D00298,web
D00299,ios
D00300,android
D00301,android
D00302,web
D00303,ios
D00304,ios
D00305,android
D00306,web
D00307,web
D00308,android
D00309,ios
D00310,ios
D00311,web
D00312,ios
D00313,web
D00314,ios
D00315,ios
D00316,android
D00317,android
D00318,web
D00319,web
D00320,android
D00321,web
D00322,android
D00323,ios
D00324,ios
D00325,android
D00326,android
D00327,android
D00328,ios
D00329,ios
D00330,ios
D00331,ios
D00332,web
D00333,web
D00334,web
D00335,android
D00336,ios
D00337,web
D00338,ios
D00339,ios
D00340,web
D00341,android
D00342,android
D00343,ios
D00344,android
D00345,android
D00346,ios
D00347,web
D00348,web
D00349,ios
D00350,web
D00351,web
D00352,ios
D00353,web
D00354,ios
D00355,android
D00356,android
D00357,android
D00358,web
D00359,android
D00360,ios
D00361,android
D00362,web
D00363,ios
D00364,ios
D00365,android
D00366,ios
D00367,ios
D00368,web
D00369,ios
D00370,ios
D00371,android
D00372,web
D00373,android
D00374,android
D00375,web
D00376,web
D00377,ios
D00378,web
D00379,android
D00380,android
D00381,android
D00382,web
D00383,web
D00384,web
D00385,ios
D00386,android
D00387,android
D00388,ios
D00389,android
D00390,web
D00391,android
D00392,ios
D00393,android
D00394,android
D00395,ios
D00396,android
D00397,ios
D00398,ios
D00399,web
D00400,ios
D00401,android
D00402,web
D00403,android
D00404,android
D00405,ios
D00406,web
D00407,android
D00408,web
D00409,ios
D00410,android
D00411,android
D00412,web
D00413,web
D00414,ios
D00415,web
D00416,web
D00417,ios
D00418,ios
D00419,ios
D00420,android
D00421,ios
D00422,ios
D00423,android
D00424,ios
D00425,web
D00426,web
D00427,web
D00428,android
D00429,android
D00430,ios
D00431,web
D00432,web
D00433,android
D00434,android
D00435,web
D00436,android
D00437,ios
D00438,ios
D00439,android
D00440,web
D00441,web
D00442,android
D00443,android
D00444,ios
D00445,android
D00446,android
D00447,android
D00448,android
D00449,android
D00450,android
D00451,web
D00452,ios
D00453,ios
D00454,web
D00455,web
D00456,ios
D00457,web
D00458,android
D00459,web
D00460,ios
D00461,android
D00462,android
D00463,ios
D00464,web
D00465,android
D00466,android
D00467,ios
D00468,android
D00469,android
D00470,ios
D00471,ios
D00472,ios
D00473,android
D00474,android
D00475,ios
D00476,android
D00477,ios
D00478,ios
D00479,web
D00480,web
D00481,web
D00482,android
D00483,android
D00484,android
D00485,ios
D00486,ios
D00487,android
D00488,android
D00489,web
D00490,web
D00491,android
D00492,android
D00493,android
D00494,android
D00495,ios
D00496,android
D00497,android
D00498,ios
D00499,android
D00500,web
