merchant_id,merchant_category
M0001,entertainment
M0002,services
M0003,services
M0004,utilities
M0005,travel
M0006,healthcare
M0007,electronics
M0008,education
M0009,utilities
M0010,healthcare
M0011,entertainment
M0012,services
M0013,travel
M0014,services
M0015,healthcare
M0016,food
M0017,utilities
M0018,food
M0019,electronics
M0020,services
M0021,entertainment
M0022,grocery
M0023,food
M0024,healthcare
M0025,fashion
M0026,electronics
M0027,utilities
M0028,electronics
M0029,services
M0030,grocery
M0031,healthcare
M0032,fashion
M0033,healthcare
M0034,healthcare
M0035,grocery
M0036,electronics
M0037,fashion
M0038,healthcare
M0039,education
M0040,education
M0041,education
M0042,entertainment
M0043,utilities
M0044,healthcare
M0045,travel
M0046,education
M0047,entertainment
M0048,utilities
M0049,healthcare
M0050,education
M0051,education
M0052,education
M0053,entertainment
M0054,education
M0055,fashion
M0056,grocery
M0057,travel
M0058,entertainment
M0059,healthcare
M0060,travel
M0061,electronics
M0062,electronics
M0063,electronics
M0064,healthcare
M0065,utilities
M0066,entertainment
M0067,education
M0068,utilities
M0069,healthcare
M0070,utilities
M0071,grocery
M0072,travel
M0073,electronics
M0074,education
M0075,fashion
M0076,healthcare
M0077,healthcare
M0078,education
M0079,travel
M0080,education
M0081,fashion
M0082,grocery
M0083,grocery
M0084,travel
M0085,travel
M0086,travel
M0087,fashion
M0088,utilities
M0089,services
M0090,services
M0091,entertainment
M0092,travel
M0093,electronics
M0094,grocery
M0095,food
M0096,food
M0097,utilities
M0098,healthcare
M0099,utilities
M0100,healthcare
M0101,electronics
M0102,utilities
M0103,food
M0104,education
M0105,entertainment
M0106,electronics
M0107,fashion
M0108,entertainment
M0109,electronics
M0110,food
M0111,healthcare
M0112,food
M0113,electronics
M0114,services
M0115,travel
M0116,travel
M0117,grocery
M0118,food
M0119,utilities
M0120,healthcare
M0121,electronics
M0122,grocery
M0123,electronics
M0124,education
M0125,electronics
M0126,utilities
M0127,services
M0128,utilities
M0129,food
M0130,electronics
M0131,services
M0132,travel
M0133,fashion
M0134,food
M0135,travel
M0136,services
M0137,electronics
M0138,services
M0139,healthcare
M0140,fashion
M0141,services
M0142,entertainment
M0143,services
M0144,entertainment
M0145,services
M0146,entertainment
M0147,grocery
M0148,travel
M0149,education
M0150,grocery
M0151,utilities
M0152,travel
M0153,fashion
M0154,food
M0155,education
M0156,healthcare
M0157,services
M0158,travel
M0159,utilities
M0160,electronics
M0161,travel
M0162,education
M0163,electronics
M0164,entertainment
M0165,food
M0166,education
M0167,healthcare
M0168,entertainment
M0169,travel
M0170,utilities
M0171,electronics
M0172,services
M0173,education
M0174,entertainment
M0175,food
M0176,services
M0177,travel
M0178,electronics
M0179,education
M0180,services
M0181,utilities
M0182,electronics
M0183,grocery
M0184,healthcare
M0185,electronics
M0186,grocery
M0187,services
M0188,travel
M0189,travel
M0190,grocery
M0191,electronics
M0192,food
M0193,fashion
M0194,education
M0195,utilities
M0196,services
M0197,grocery
M0198,education
M0199,utilities
M0200,travel
M0201,services
M0202,electronics
M0203,entertainment
M0204,food
M0205,travel
M0206,grocery
M0207,electronics
M0208,food
M0209,fashion
M0210,services
M0211,entertainment
M0212,entertainment
M0213,entertainment
M0214,travel
M0215,utilities
M0216,healthcare
M0217,entertainment
M0218,education
M0219,services
M0220,education
M0221,fashion
M0222,travel
M0223,fashion
M0224,utilities
M0225,healthcare
M0226,travel
M0227,utilities
M0228,grocery
M0229,food
M0230,electronics
M0231,utilities
M0232,utilities
M0233,grocery
M0234,services
M0235,education
M0236,utilities
M0237,healthcare
M0238,utilities
M0239,travel
M0240,fashion
M0241,services
M0242,healthcare
M0243,grocery
M0244,food
M0245,food
M0246,grocery
M0247,healthcare
M0248,electronics
M0249,education
M0250,utilities
M0251,healthcare
M0252,services
M0253,travel
M0254,grocery
M0255,entertainment
M0256,healthcare
M0257,entertainment
M0258,travel
M0259,utilities
M0260,food
M0261,fashion
M0262,entertainment
M0263,food
M0264,electronics
M0265,healthcare
M0266,healthcare
M0267,grocery
M0268,services
M0269,food
M0270,fashion
M0271,education
M0272,fashion
M0273,utilities
M0274,fashion
M0275,entertainment
M0276,utilities
M0277,utilities
M0278,grocery
M0279,travel
M0280,grocery
M0281,healthcare
M0282,education
M0283,education
M0284,services
M0285,travel
M0286,healthcare
M0287,services
M0288,utilities
M0289,services
M0290,electronics
M0291,healthcare
M0292,grocery
M0293,food
M0294,grocery
M0295,entertainment
M0296,grocery
M0297,food
M0298,entertainment
M0299,fashion
M0300,entertainment
M0301,services
M0302,utilities
M0303,services
M0304,electronics
M0305,grocery
M0306,grocery
M0307,food
M0308,entertainment
M0309,services
M0310,electronics
M0311,electronics
M0312,healthcare
M0313,education
M0314,travel
M0315,utilities
M0316,entertainment
M0317,electronics
M0318,utilities
M0319,travel
M0320,entertainment
M0321,entertainment
M0322,services
M0323,education
M0324,travel
M0325,fashion
M0326,entertainment
M0327,healthcare
M0328,entertainment
M0329,education
M0330,education
M0331,food
M0332,services
M0333,utilities
M0334,fashion
M0335,utilities
M0336,utilities
M0337,services
M0338,electronics
M0339,entertainment
M0340,food
M0341,entertainment
M0342,utilities
M0343,fashion
M0344,education
M0345,services
M0346,fashion
M0347,education
M0348,entertainment
M0349,services
M0350,electronics
M0351,utilities
M0352,services
M0353,travel
M0354,education
M0355,utilities
M0356,services
M0357,healthcare
M0358,grocery
M0359,healthcare
M0360,utilities
M0361,food
M0362,utilities
M0363,travel
M0364,utilities
M0365,utilities
M0366,entertainment
M0367,healthcare
M0368,food
M0369,utilities
M0370,electronics
M0371,grocery
M0372,electronics
M0373,entertainment
M0374,healthcare
M0375,fashion
M0376,grocery
M0377,food
M0378,services
M0379,healthcare
M0380,fashion
M0381,grocery
M0382,fashion
M0383,services
M0384,electronics
M0385,education
M0386,fashion
M0387,utilities
M0388,utilities
M0389,fashion
M0390,grocery
M0391,services
M0392,utilities
M0393,utilities
M0394,healthcare
M0395,fashion
M0396,utilities
M0397,grocery
M0398,electronics
M0399,entertainment
M0400,electronics
M0401,healthcare
M0402,healthcare
M0403,services
M0404,electronics
M0405,fashion
M0406,electronics
M0407,entertainment
M0408,services
M0409,grocery
M0410,food
M0411,entertainment
M0412,grocery
M0413,services
M0414,utilities
M0415,grocery
M0416,healthcare
M0417,utilities
M0418,services
M0419,food
M0420,food
M0421,travel
M0422,utilities
M0423,healthcare
M0424,travel
M0425,services
M0426,entertainment
M0427,electronics
M0428,food
M0429,education
M0430,electronics
M0431,healthcare
M0432,entertainment
M0433,education
M0434,entertainment
M0435,utilities
M0436,services
M0437,healthcare
M0438,utilities
M0439,food
M0440,food
M0441,education
M0442,education
M0443,entertainment
M0444,electronics
M0445,entertainment
M0446,entertainment
M0447,food
M0448,fashion
M0449,grocery
M0450,food
M0451,fashion
M0452,education
M0453,education
M0454,education
M0455,electronics
M0456,education
M0457,entertainment
M0458,electronics
M0459,education
M0460,grocery
M0461,fashion
M0462,utilities
M0463,entertainment
M0464,services
M0465,services
M0466,food
M0467,utilities
M0468,travel
M0469,travel
M0470,travel
M0471,electronics
M0472,travel
M0473,education
M0474,utilities
M0475,utilities
M0476,food
M0477,fashion
M0478,fashion
M0479,travel
M0480,fashion
M0481,travel
M0482,entertainment
M0483,electronics
M0484,fashion
M0485,grocery
M0486,food
M0487,education
M0488,electronics
M0489,food
M0490,healthcare
M0491,utilities
M0492,entertainment
M0493,fashion
M0494,education
M0495,healthcare
M0496,utilities
M0497,services
M0498,fashion
M0499,electronics
M0500,services
