transaction_id,customer_id,merchant_id,amount,timestamp,payment_method,device_id,ip_id,location,fraud_type,ring_id,is_fraud
TX0000001,C00810,M0159,745.02,2026-04-01 14:56:39,upi,D03268,IP00708,Visakhapatnam,none,,0
TX0000002,C06114,M0360,1052.23,2026-08-16 22:25:21,netbanking,D02432,IP07724,Hyderabad,none,,0
TX0000003,C09298,M0102,1010.36,2026-04-21 00:33:40,card,D02368,IP06832,Ahmedabad,none,,0
TX0000004,C05605,M0240,1647.78,2026-01-10 12:17:37,card,D04562,IP02590,Bengaluru,none,,0
TX0000005,C09208,M0488,514.27,2026-04-02 15:53:32,wallet,D02683,IP07447,Ahmedabad,none,,0
TX0000006,C08615,M0224,2470.4,2026-04-26 03:48:30,upi,D00926,IP07245,Vijayawada,none,,0
TX0000007,C09399,M0374,528.05,2026-03-03 18:14:07,upi,D00850,IP07621,Vijayawada,none,,0
TX0000008,C09829,M0285,5010.12,2026-08-09 09:46:32,wallet,D04564,IP03824,Visakhapatnam,none,,0
TX0000009,C08585,M0422,4517.28,2026-03-11 19:42:07,upi,D04051,IP04924,Pune,none,,0
TX0000010,C03267,M0398,1855.16,2026-04-19 10:56:25,card,D01903,IP07812,Ahmedabad,none,,0
TX0000011,C04170,M0373,553.88,2026-01-31 07:17:11,upi,D02295,IP06261,Hyderabad,none,,0
TX0000012,C08926,M0426,1698.63,2026-05-17 15:08:40,wallet,D01221,IP06153,Chennai,none,,0
TX0000013,C03927,M0439,3553.25,2026-04-23 09:15:01,wallet,D00436,IP07451,Hyderabad,none,,0
TX0000014,C09608,M0291,6276.79,2026-01-19 04:13:34,upi,D03702,IP02388,Chennai,none,,0
TX0000015,C03169,M0178,2056.68,2026-03-19 02:29:31,wallet,D02289,IP07795,Delhi,none,,0
TX0000016,C06937,M0192,10816.04,2026-01-26 15:24:40,card,D03848,IP02143,Mumbai,none,,0
TX0000017,C00624,M0190,11527.33,2026-07-16 16:32:52,card,D04936,IP07152,Pune,velocity_attack,,1
TX0000018,C02202,M0114,2252.55,2026-04-02 12:38:24,upi,D01793,IP06353,Mumbai,velocity_attack,,1
